,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
23,25,Pflegefachmann/frau FH BSc,Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Aufgaben
• Sicherstellen einer qualitativ guten und sicherer Pflege auf der Grundlage des Pflegeprozesses
• Ausführen von pflegerischen und medizinaltechnischen Verrichtungen in komplexen und instabilen Situationen
• Aufnehmen der Bedürfnisse von (Kundinnen/Kunden) Bewohnenden und Angehörigen in den Pflegeprozess
• Planen und Sicherstellen von Präventionsmassnahmen
• Beratung, Information und Unterstützung von (Kundinnen und Kunden) Bewohnenden und deren Angehörigen bei Fragen von Gesundheit und Krankheit
• Delegation von Aufgaben und Verantwortung kompetenzgerecht und effizient im Pflegeteam 
• Durchführung von Assessments mittels RAI HC ( )
• Durchführung von Pflegeeinstufungen nach BESA
• Korrekte Erfassung der Leistung nach BESA
• Korrekte Dokumentation des Pflegeprozesses im Pflegedokumentationssystem

Kompetenzen/Verantwortung
• Fachliche Weisungsbefugnis in pflegerischen und betreuerischen Fragen gegenüber Mitarbeitenden Sekundarstufe II, Atteststufe, Pflegehelferin/-helfer SRK, Lernenden EFZund des Fachbereichs Hauswirtschaft
• Flexibles Intervenieren bei unvorhersehbaren Situationen
• Unterschriftsberechtigung/Finanzkompetenzen gemäss B.1 BE Kompetenz- und Unterschriftenregelung
• Korrektes Erfassen und Planen der zu erbringenden Leistungen zuhanden des Leistungserbringers (KK)

Anforderungsprofil
• Ausbildung Niveau Tertiärstufe, dipl. Pflegefachperson FH / HF oder gleichwertige Ausbildung
• Kenntnisse von weiteren Instrumenten, welche in der Volketswil eingesetzt werden
• Erhöhte Fähigkeit zum Planen und Koordinieren
• Gute IT-Anwenderkenntnisse
• Zuverlässigkeit und Sorgfalt
• Fähigkeit, sich zu entwickeln und Neues zu lernen, sich notwendige Informationen zu holen und Prioritäten zu setzen
• Gute Fähigkeit, Mitarbeitende tieferer Kompetenzstufen und Auszubildende in pflegerischen und organisatorischen Belangen anzuleiten und zu instruieren sowie bei Bedarf zu beraten und zu coachen
• Führerausweis Kat. B.",Gesundheitswesen,Volketswil,8604,3543.75,45.0,23 Aug 2023,11
24,26,Pflegehelfer/in SRK,Ungelernt mit >20 Monaten Erfahrung,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein. Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit (20 Monate bei 100%-Beschäftigung) muss im CV aufgeführt sein.,"Aufgaben:
Pflege und Betreuung
- Unterstützen des diplomierten Pflegepersonals. Die Mitarbeit umfasst Tätigkeiten zu folgenden Aktivitäten des täglichen Lebens.
-Körperpflege und Unterstützung der Bewohner in den Aktivitäten des täglichen Lebens
- Geleistete Arbeiten in der Pflegedokumentation eintragen
- Begleiten der Bewohner zu verschiedenen Aktivitäten
- Ausführen von täglichen anfallenden hauswirtschaftlichen Arbeiten
Kommunikation und weitere Aufgaben
- Für ein angenehmes Arbeitsklima sorgen
- Teilnahme an den täglichen Rapporten
- Selbstständiges Holen und Weiterleiten von betriebsrelevanten Informationen
- Einhalten der geplanten Arbeitsabläufe, wenn nötig sinnvoll umdisponieren
- Beobachtete Veränderungen, Probleme oder Mitteilungen von Bewohnern unverzüglich an die vorgesetzte Stelle weiterleiten
- Einhalten und Umsetzen von Hygiene und Sicherheit
- Mitwirken bei Administration, Logistik und Zusammenarbeit",Gesundheitswesen,Altendorf,8852,1318.38,31.39,23 Aug 2023,8
25,27,Assistent/in Gesundheit und Soziales EBA,Gelernt,"Die EBA-Ausbildung ist eine berufliche Grundbildung, welche 2 Jahre dauert und sowohl theoretische, als auch praktische Elemente beinhaltet. Das Berufsattest EBA muss auf dem Coople-Account hinterlegt sein.","sucht dich!

Deine Aufgaben
• Betreuung und Begleitung der zugeteilten Bewohnerinnen und Bewohner
• Selbständige Ausführung der Grundpflege
• Übernahme von Aufgaben als Bezugsperson nach Anleitung
• Begleitung und Unterstützung der Bewohnerinnen und Bewohner im Alltag
• Abgabe von mündlichem und schriftlichem Rapport
• Mithilfe bei hauswirtschaftlichen Tätigkeiten

Dein Profil
• Abgeschlossenen Ausbildung zum/zur Assistent/in Gesundheit und Soziales EBA
• Erfahrung in der Langzeitpflege
• Freude an der Aufgabe mit vielseitigen Herausforderungen
• Gute Deutschkenntnisse in Wort und Schrift

Wir freuen uns auf dein Interesse.",Gesundheitswesen,Zollikon,8125,80172.0,36.0,23 Aug 2023,262
26,28,Pflegehelfer/in SRK,Ungelernt,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein.,"Ausbildung als Pflegehelfer/-in SRK, Pflegeassistent/-in oder AGS

Der Einsatz erfolgt voraussichtlich auf einer Abteilung mit den Schwerpunkten Neurocare Langzeitpflege.
Verpflegungsmöglichkeit auf dem Gelände in einem Restaurant. Parkmöglichkeiten vergünstigt vorhanden (max. CHF 2.- / Tag)

Schichten können im Früh- oder Spätdienst sein. 
Zuteilung erfolgt nach Absprache, sobald passende Person gefunden wurde.

Zuschläge; 
Für die Arbeitsstunden von 20.00 h bis 06.00 h (Nachtzuschlag) für die Samstags-, Sonntags- Feiertagsstunden werden folgende Zulagen pro geleistete Stunde vergütet:
CHF 6.40 

Das betreibt zwei Pflegezentren zwei Pflegewohnungen im Zürcher Unterland. Das bietet vorwiegend älteren, pflegebedürftigen Menschen ein Zuhause führt zudem ein breites Angebot an ambulanten Dienstleistungen. Die Mitarbeitenden pflegen eine wertschätzende offene Kommunikation. So entstehen für den Alltag bereichernde, lebendige Beziehungen zwischen Mitarbeitenden Bewohnerinnen Bewohnern.",Gesundheitswesen,Bassersdorf,8303,1872.0,26.0,23 Aug 2023,9
27,29,Handwerk & Auf-/Abbau,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit. Handwerkliches Geschick von Vorteil. Die Aufgaben können von einfachen Handlangertätigkeiten (z.B. Mobiliaraufbau), bis zu handwerklichen Tätigkeiten reichen.","Wir suchen kräftige, einsatzfreudige Personen, mit handwerklicher Berufserfahrung, für den Zeltbau. Die Einsatzdauer kann variieren da sie abhängig ist vom Arbeitsfortschritt, evtl. ist sie länger, sie kann aber auch kürzer sein. In Ausnahmefällen ist auch ein anderer Einsatzort möglich. Der Einsatz auf den Baustellen ist selten auf Asphaltuntergrund, daher beachten Sie bitte die Kleidervorgaben!",Promotion / Event,Solothurn,4500,651.24,24.12,23 Aug 2023,3
28,30,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Fachfrau/-mann , 100%, für eine offene Demenzabteilung

Diese Pflegegruppe wird zu einem Teil weglaufgeschützt zum anderen Teil offen geführt. 

Wichtig; 
Die Dienste können Früh oder Spätdienste sein!
Die genaue Planung erfolgt, sobald wir eine passende Person gefunden haben. 

Ihre Welt
- Als Begleitperson bieten Sie individuelle ressourcenorientierte Unterstützung für Bewohner/-innen deren Angehörige
- Pflegeprozesse aktiv mitgestalten diese in Pflegedokumentationen abbilden
- Umfassende Betreuung der Bewohner/-innen
- Gemeinsam mit Pflegefachperson zuständig für das Tagesgeschäft

Unsere Erwartung
- Abgeschlossene Berufsbildung als FaGe EFZ oder ein entsprechendes vom SRK anerkanntes ausländisches Diplom
- Dienstleistungs- personenorientiertes Handeln Arbeiten
- Kenntnis von Kinaesthetics, Integrativer Validation, Basaler Stimulation
- Offen für Neues bereit, sich für fortschrittliches Pflegeverständnis einzusetzen
- Belastbar, teamfähig flexibel

Zulagenregelung Es werden folgende Zulagen pro geleistete Stunde vergütet:
Samstags-, Sonntags- Feiertagsstunden
- bei einem Ferienanspruch von 5 Wochen: CHF 6.40
- bei einem Ferienanspruch ab 6 Wochen: CHF 6.55
Nachtzuschlag (Arbeitsstunden von 20.00 h bis 06.00 h)
- bei einem Ferienanspruch von 5 Wochen: CHF 7.40
- bei einem Ferienanspruch ab 6 Wochen: CHF 7.55
Zuschläge sind nicht kumulierbar allfällige Zulagen während Absenzen wie Ferien, Krankheit, Unfall etc. sind mit diesen Ansätzen abgegolten.",Gesundheitswesen,Embrach,8424,2448.0,32.0,23 Aug 2023,9
29,31,Luftverkehr - Catering / Produktion,Interessiert,"Personen, welche Interesse haben an der Produktion von Lebensmitteln. Nach Auswahl dieses Jobprofiles wirst du für die kommende Rekrutierung berücksichtigt.","Zubereitung von Getränken im Starbucks.

!!!! Erfahrung bei Starbucks zwingend notwendig. !!!!
Bitte nicht bewerben, wenn keine Erfahrung vorhanden ist.",Luftverkehr,Kloten,8302,5205.6,24.1,23 Aug 2023,26
30,33,Pflegehelfer/in SRK,Ungelernt,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein.,"Ausbildung als Pflegehelfer/-in SRK, Pflegeassistent/-in oder AGS

Der Einsatz erfolgt voraussichtlich auf einer Demenzabteilung. 
Verpflegungsmöglichkeit auf dem Gelände in einem Restaurant. Parkplätze sind vorhanden (Kosten CHF 2.- / Tag)

Zuschläge; 
Für die Arbeitsstunden von 20.00 h bis 06.00 h (Nachtzuschlag) für die Samstags-, Sonntags- Feiertagsstunden werden folgende Zulagen pro geleistete Stunde vergütet:
CHF 6.40 


Das betreibt zwei Pflegezentren zwei Pflegewohnungen im Zürcher Unterland. Das bietet vorwiegend älteren, pflegebedürftigen Menschen ein Zuhause führt zudem ein breites Angebot an ambulanten Dienstleistungen. Die Mitarbeitenden pflegen eine wertschätzende offene Kommunikation. So entstehen für den Alltag bereichernde, lebendige Beziehungen zwischen Mitarbeitenden Bewohnerinnen Bewohnern.",Gesundheitswesen,Embrach,8424,1664.0,26.0,23 Aug 2023,8
31,34,Personenwagenfahrer/in (bis 3.5T),,,"Wir suchen einen motivierten Fahrer 3.5t Kat B/E per sofort für Abholungen und Zustellungen von - und Palettensendungen gemäss Tourenplan in der Stadt Bern und schweizweit. Einsatzdauer min. 1 Monat oder länger.

Anforderungsprofil
• Einsatz auf 3.5t Fahrzeug mit Hebebühne
• Anhängerprüfung und Erfahrung mit fahren!
• Gute geographische Kenntnisse Stadt/Region Bern 
• Beherrschen der schweizerdeutschen Sprache
• Freundliches und sauberes Auftreten
• Gute körperliche Verfassung

Es erwartet Sie
• Einsatz ab sofort oder nach Vereinbarung von Montag – Freitag und nach Absprache am Wochenende
• Ein wachsendes Unternehmen auf Erfolgskurs
• Zeitgemässe Entlöhnung im Stundenlohn + Ferien- und Feiertagszuschläge
• Sehr flexible Arbeitseinteilung: nur stundenweise, ganztags, wochen- oder monatsweise
• Moderner Fuhrpark
• Selbständiges Arbeiten",Promotion / Event,Münchenbuchsee,3053,7980.0,30.0,23 Aug 2023,28
32,35,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Service petit-déjeuner usuel,Gastronomie / Hotel,Neuchâtel,2000,272.0,34.0,23 Aug 2023,2
33,36,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"sucht dich!

Deine Aufgaben
• Pflege und Betreuung der Gäste in alltäglichen und anspruchsvollen Situationen
• Übernahme der Tagesverantwortung
• Elektronische Pflegedokumentation mittels ""Care-Coach""
• Behandlungspflegerische und medizinaltechnische Verrichtungen
• Mitarbeit bei der Umsetzung des Pflegeprozesses und Übernahme der Bezugspflege

Dein Profil
• Eine herzliche und humorvolle Grundeinstellung
• Abgeschlossene Ausbildung zur/zum Fachfrau/-mann Gesundheit EFZ
• Erfahrung in der Langzeitpflege insbesondere mit demenzerkrankten Menschen (von Vorteil)
• Sichere Kommunikation in Deutsch (mündlich und schriftlich)

Wir freuen uns auf dein Interesse.",Gesundheitswesen,Zollikon,8125,84626.0,38.0,23 Aug 2023,262
34,37,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,Personalrestaurant,Gastronomie / Hotel,Männedorf,8708,187.5,31.25,23 Aug 2023,1
35,38,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"• Um sicherzustellen, dass die Sauberkeit und Hygiene der Ihnen zugewiesenen Filiale den Standards von Mandarining entspricht
• Leeren Sie die Mülleimer
• Reinigen Sie die Küchengeräte und/oder das Geschirr mit besonderer Sorgfalt, um Brüche zu vermeiden und zu minimieren.
• Sorgen Sie für die Reinigung und Desinfektion von Töpfen, Pfannen und Küchenutensilien gemäß den Standardarbeitsanweisungen der Abteilung.",Gastronomie / Hotel,Luzern,6006,663.0,26.0,23 Aug 2023,3
36,39,"KV - Handel, Ein- & Verkauf",Angelernt (ungelernt mit >20 Monate Erfahrung),Der Nachweis über >20 Monate Erfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufsausbildung im KV-Bereich müssen sich im entsprechenden Jobprofil registrieren!,"Verarbeitung Lieferscheine, Transfers und allgemeine administrative Aufgaben 
Mithilfe bei Verarbeitung Kassenabrechnungen, ausschliesslich kompletter Einsatz
vom 21.8. - 15.9.23 möglich.",Kaufmännische Berufe,Zürich-Flughafen,8058,3375.0,25.0,23 Aug 2023,18
37,40,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,Mithilfe in der warmen und kalten Küche,Gastronomie / Hotel,Zürich,8032,416.0,26.0,23 Aug 2023,2
38,41,Pflegefachmann/frau HF dipl. (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"sucht dich!

Deine Aufgaben
• Pflege und Betreuung der Gäste in alltäglichen und anspruchsvollen Situationen
• Übernahme der Tagesverantwortung
• Elektronische Pflegedokumentation mittels ""Care-Coach""
• Behandlungspflegerische und medizinaltechnische Verrichtungen
• Mitarbeit bei der Umsetzung des Pflegeprozesses und Übernahme der Bezugspflege

Dein Profil
• Eine herzliche und humorvolle Grundeinstellung
• Weiterbildung zur Diplomierte Pflegefachperson 
• Erfahrung in der Langzeitpflege insbesondere mit demenzerkrankten Menschen (von Vorteil)
• Sichere Kommunikation in Deutsch (mündlich und schriftlich)

Wir freuen uns auf dein Interesse.",Gesundheitswesen,Zollikon,8125,100215.0,45.0,23 Aug 2023,262
39,42,KV - Allgemeine Richtungen,Kaufmann/frau EFZ,"Kaufleute arbeiten in den unterschiedlichsten Wirtschaftszweigen, die in 21  Branchen unterteilt sind. In den verschiedenen Einsatzbereichen übernehmen sie administrative und organisatorische Aufgaben. Das EFZ-Fähigkeitszeugnis muss auf dem Coople-Account hinterlegt sein.","Funktionsumschreibung
- Dien Kunden und abschlussorientierte Beratung sowie Verkauf im Kern- und Drittgeschäft über alle Kanäle. 
- Betreuung der Kunden und Kundinnen an allen Touchpoints.

Anforderungen.

Die folgenden Voraussetzungen bringst du für die Ausbildung zur Kundenberaterin oder zum Kundenberater mit:

- Du hast Freude am täglichen Kundenkontakt und am professionellen Beraten von Kundinnen und Kunden. 
- Du bist teamfähig und übernimmst gerne Eigenverantwortung.
 - Du verfügst über eine abgeschlossene Grundausbildung in einem der folgenden Bereiche: Detailhandel, kaufmännischer Bereich, Kundendialog, Tourismus oder in einem ähnlichen Bereich.
 - In der deutschen und französischen Sprache bist du verhandlungssicher. Grundkenntnisse in Italienisch und Englisch sind ein Plus.
- Sprachanforderungen im Reisezentrum: fliessende Sprachkenntnisse der Standortsprache des Einsatzortes sowie Sprachkenntnisse (mindestens Niveau B1) in einer zweiten Landessprache und/oder Englisch.
 - Sprachanforderungen im Contact Center: In der deutschen und französischen Sprache bist du verhandlungssicher. Grundkenntnisse in Italienisch und Englisch sind ein Plus.
 - Deine Kenntnisse der MS-Office-Programme runden dein Profil ab.

Fachkompetenzen:
- Gute PC Anwenderkenntisse
- Geografiekenntnisse (optional)
- Kenntnisse der sozialen Medien (optional)

Ausbildung:
- Abgeschlossene Kaufmännische Lehre (EFZ) mit Laufbahn Reisen (ZWINGEND)

Sprachkenntnisse:
- Deutsch mündlich und schriftlich gut bis sehr gut
- Französisch von Vorteil",Kaufmännische Berufe,Brig-Glis,3902,68323.86,31.37,23 Aug 2023,242
40,43,Koch/Köchin,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Koch mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsausbildungszertifikat (EBA) und weniger als drei Jahren Berufserfahrung.,"Mithilfe in der Produktion kalte und warme Küche
Mittags- Service an der Front",Gastronomie / Hotel,Zürich,8048,225.0,30.0,23 Aug 2023,1
41,44,Pflegefachmann/frau HF dipl. (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Die Schichtzeiten sind fiktiv, du wirst von Coople noch kontaktiert.

Was du erwarten darfst: 

Eine vielseitige, sinn- und anspruchsvolle Arbeit mit viel Eigenverantwortung, Kompetenz und Gestaltungsraum
Ein engagiertes Team in einem sehr angenehmen und wertschätzenden Betriebsklima
gute Sozialleistungen sowie Besoldung, angelehnt an die kantonalen Richtlinien
In- und externe Fort- und Weiterbildungsmöglichkeiten
Aktive Mitgestaltung bei Arbeitsplänen, nur Tagdienste sowie drei zusätzliche Wochen Ferien
Vergünstigungen beim Sport- und ZVV-Abo

Was du mitbringst:

Abgeschlossene Ausbildung als Pflegefachfrau/-mann HF/FH (bei ausländischem Diplom mit SRK-Anerkennung)
Engagement und Einsatzfreude bei der Pflege und Betreuung von jungen Erwachsenen
Psychische Belastbarkeit, Teamfähigkeit und Motivation zum verantwortungsvollen und selbstständigen Arbeiten
Geduld, soziale Kompetenz und Flexibilität
Praxiserfahrung mit EDV-gestützter Pflegedokumentation

Deine Kernaufgaben:

Funktion als Pflegefachkraft mit Dienstverantwortung im Tagdienst
Grund- und Behandlungspflege der Bewohnenden
Sicherung der Pflegequalität mittels Umsetzung der jeweiligen Standards und Richtlinien
Fallführung für ein bis zwei Bewohnende
Begleitung und Unterstützung der Bewohnenden im Alltag und der Freizeit
Aktive Mitarbeit bei der Weiterentwicklung der Wohngruppe
Praxisanleitung von Praktikanten und Lernenden
Neugierig auf eine vielseitige und anspruchsvolle Arbeit mit viel Eigenverantwortung und Gestaltungsraum?

Strafregisterauszug oder Sonderprivatauszug ohne Einträge erforderlich. Fehlender oder negativer Auszug führt zur Vertragskündigung und keinem Lohnanspruch",Gesundheitswesen,Zürich,8008,4196.25,45.0,23 Aug 2023,14
